time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
8.6,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
8.65,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
8.7,0.0229,0.0152,0.0288,0.0342,0.0614,0.0179,0.0458,0.0959
8.75,0.0214,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
8.8,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0442,0.0959
8.85,0.0229,0.0152,0.0288,0.0342,0.0614,0.0164,0.0473,0.0959
8.9,0.0244,0.0167,0.0288,0.0342,0.0614,0.0179,0.0473,0.0975
8.95,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0458,0.0959
9.0,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0959
9.05,0.0229,0.0182,0.0288,0.0358,0.0614,0.0164,0.0473,0.0959
9.1,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
9.15,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0458,0.0959
9.2,0.0244,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0944
9.25,0.0244,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
9.3,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0442,0.0959
9.35,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0959
9.4,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0442,0.0959
9.45,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0944
9.5,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
9.55,0.0229,0.0152,0.0273,0.0342,0.0614,0.0164,0.0458,0.0929
9.6,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0442,0.0959
9.65,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0959
9.7,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
9.75,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0944
9.8,0.0229,0.0167,0.0273,0.0327,0.0598,0.0164,0.0442,0.0944
9.85,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0944
9.9,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0442,0.0944
9.95,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0458,0.0929
10.0,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0442,0.0944
10.05,0.0229,0.0152,0.0288,0.0342,0.0614,0.0164,0.0442,0.0944
10.1,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
10.15,0.0229,0.0152,0.0288,0.0327,0.0614,0.0164,0.0458,0.0944
10.2,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0458,0.0959
10.25,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0442,0.0975
10.3,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0458,0.0975
10.35,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0458,0.0959
